2026-05-26 15:42:05 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.HikariConfig - HikariPool-1 - idleTimeout has been set but has no effect because the pool is operating as a fixed size pool.
2026-05-26 15:42:06 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-05-26 15:42:08 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@25b4bf87
2026-05-26 15:42:08 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-05-26 15:42:14 [http-nio-8080-exec-1] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 127.0.0.1 | Method: GET | URI: /e_learning_war_exploded/index | Time: 5169ms
2026-05-26 15:42:15 [http-nio-8080-exec-3] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/index | Time: 465ms
2026-05-26 15:42:15 [http-nio-8080-exec-5] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/base/base.css | Time: 9ms
2026-05-26 15:42:15 [http-nio-8080-exec-6] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/base/card.css | Time: 0ms
2026-05-26 15:42:15 [http-nio-8080-exec-7] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/base/default.css | Time: 7ms
2026-05-26 15:42:15 [http-nio-8080-exec-4] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/base/home.css | Time: 7ms
2026-05-26 15:42:15 [http-nio-8080-exec-2] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/security/security.js | Time: 4ms
2026-05-26 15:42:15 [http-nio-8080-exec-3] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/ui/header-search.js | Time: 0ms
2026-05-26 15:42:15 [http-nio-8080-exec-1] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/ui/dark-mode.js | Time: 13ms
2026-05-26 15:42:15 [http-nio-8080-exec-9] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/base/header.css | Time: 242ms
2026-05-26 15:42:15 [http-nio-8080-exec-10] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/fonts/normalize.css-master/normalize.css | Time: 362ms
2026-05-26 15:42:15 [http-nio-8080-exec-8] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/fonts/fontawesome-free-7.1.0-web/css/all.min.css | Time: 296ms
2026-05-26 15:42:15 [http-nio-8080-exec-7] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/security/security.js | Time: 0ms
2026-05-26 15:42:15 [http-nio-8080-exec-5] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/base/base.css | Time: 5ms
2026-05-26 15:42:15 [http-nio-8080-exec-6] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/base/contact-button.css | Time: 3ms
2026-05-26 15:42:15 [http-nio-8080-exec-2] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/component/modal/modal.js | Time: 4ms
2026-05-26 15:42:15 [http-nio-8080-exec-4] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/admin/component/notification.css | Time: 6ms
2026-05-26 15:42:15 [http-nio-8080-exec-1] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/component/modal/modal-configs.js | Time: 4ms
